group,variable,value
Germany,Timor-Leste,0.124
Germany,South Sudan,0.128
Germany,Solomon Islands,0.001
Germany,Kazakhstan,0.591
Germany,Armenia,0.794
Germany,Paraguay,0.315
Germany,Panama,0.071
Germany,Azerbaijan,0.615
Germany,Kosovo,0.380
Germany,Kyrgyz Republic,0.523
Germany,Lesotho,0.406
Germany,Mauritius,0.115
Germany,Cuba,0.121
Germany,Central African Republic,0.272
Germany,"Macedonia, FYR",0.581
Germany,Guinea-Bissau,0.061
Germany,Guyana,0.114
Germany,Tajikistan,0.403
Germany,Eritrea,0.120
Germany,Croatia,0.814
Germany,Moldova,0.153
Germany,Djibouti,0.066
Germany,Bhutan,0.014
Germany,Swaziland,0.141
Germany,Uruguay,0.240
Germany,Gambia,0.199
Germany,Samoa,0.040
Germany,Belize,0.002
Germany,Turkmenistan,0.018
Germany,Comoros,0.007
Germany,Libya,0.067
Germany,Belarus,0.205
Germany,Maldives,0.025
France,Indonesia,5.653
France,India,4.139
France,Egypt,8.598
France,China,5.950
France,Iraq,2.976
France,Pakistan,3.372
France,Philippines,0.671
France,Bangladesh,1.268
France,Israel,0.098
France,Afghanistan,0.610
France,Viet Nam,4.732
France,Russia,0.248
France,Tanzania,0.602
France,Thailand,1.050
France,Mozambique,2.512
France,Turkey,3.017
France,Nigeria,4.753
France,Kenya,2.858
France,Brazil,3.298
France,Morocco,13.467
France,"Congo, Democratic Republic of",5.033
France,Mexico,2.942
France,Ethiopia,0.531
France,Sri Lanka,0.677
France,Sudan,0.420
France,Peru,0.573
France,Papua New Guinea,0.034
France,Zambia,0.500
France,Ghana,1.772
France,Jordan,1.239
France,Colombia,1.680
France,Poland,2.005
France,Tunisia,7.561
France,Cameroon,9.019
France,Cote d`Ivoire,12.972
France,Uganda,0.307
France,Bolivia,0.376
France,Malaysia,0.431
France,Senegal,7.380
France,Palestinian Adm. Areas,0.922
France,Nicaragua,0.444
France,South Africa,1.902
France,Algeria,4.432
France,Myanmar,0.844
France,Mali,4.103
France,Serbia,0.864
France,Argentina,0.231
France,Haiti,1.380
France,Zimbabwe,0.436
France,Nepal,0.240
France,Burkina Faso,3.314
France,Honduras,0.245
France,El Salvador,0.125
France,Malawi,0.184
France,Madagascar,4.003
France,Yemen,0.617
France,Cambodia,0.833
France,Somalia,0.168
France,Venezuela,0.126
France,Guatemala,0.122
France,Angola,0.725
France,Rwanda,0.878
France,Syria,0.591
France,Niger,2.826
France,Bosnia-Herzegovina,0.355
France,Lebanon,2.937
France,"Congo, Republic of",5.687
France,Ukraine,0.328
France,Ecuador,0.558
France,Jamaica,0.065
France,Benin,1.999
France,Dominican Republic,0.600
France,Liberia,0.333
France,Guinea,2.997
France,Chile,0.424
France,Laos,0.564
France,Costa Rica,0.130
France,Uzbekistan,0.089
France,Iran,0.297
France,Georgia,0.142
France,Sierra Leone,0.116
France,Chad,2.200
France,Burundi,0.967
France,Mauritania,1.947
France,Albania,0.131
France,Botswana,0.111
France,Togo,1.816
France,Mongolia,0.096
France,Namibia,0.172
France,Gabon,3.052
France,Cape Verde,0.269
France,Timor-Leste,0.002
France,South Sudan,0.005
France,Solomon Islands,0.007
France,Kazakhstan,0.110
France,Armenia,0.228
France,Paraguay,0.109
France,Panama,0.067
France,Azerbaijan,0.157
France,Kosovo,0.031
France,Kyrgyz Republic,0.032
France,Lesotho,0.117
France,Mauritius,1.889
France,Cuba,0.059
